time_ms,errorX,errorY
1000,-11,-5.5
1021,-11,-5.5
1043,-13,-6.5
1064,-14,-6
1086,-15,-6.5
1107,-15,-6.5
1129,-16,-7
1150,-16,-7
1172,-16,-7
1195,-16,-7
1216,-16,-7
1238,-16,-7
1259,-17,-7.5
1281,-17,-7.5
1302,-17,-7.5
1324,-17,-7.5
1345,-17,-7.5
1367,-18,-8
1388,-21,-9.5
1410,-23,-9.5
1431,-24,-10
1454,-25,-10.5
1475,-26,-11
1497,-27,-11.5
1518,-27,-11.5
1540,-29,-12.5
1561,-30,-13
1583,-33,-14.5
1605,-35,-14.5
1627,-37,-15.5
1648,-41,-16.5
1670,-43,-16.5
1691,-43,-15.5
1713,-41,-14.5
1734,-39,-12.5
1757,-37,-11.5
1778,-35,-10.5
1800,-32,-9
1821,-29,-8.5
1843,-27,-6.5
1864,-23,-5.5
1886,-22,-5
1907,-20,-4
1929,-17,-2.5
1950,-16,-2
1973,-17,-2.5
1994,-16,-2
2016,-14,-1
2037,-14,0
2059,-16,-1
2080,-18,-2
2102,-19,-3.5
2123,-20,-4
2145,-19,-3.5
2166,-17,-2.5
2188,-15,-1.5
2209,-14,-1
2232,-12,0
2253,-10,1
2275,-9,1.5
2296,-8,2
2318,-8,2
2339,-8,2
2361,-7,2.5
2382,-7,2.5
2404,-6,3
2425,-6,3
2447,-6,3
2468,-6,3
2490,-5,2.5
2511,-4,3
2533,-4,3
2554,-4,3
2576,-3,3.5
2597,-3,3.5
2619,-3,3.5
2640,-3,3.5
2662,-3,3.5
2683,-2,4
2705,-2,4
2726,-2,4
2748,-2,3
2769,-3,3.5
2791,-3,3.5
2812,-2,3
2834,-2,3
2856,-2,3
2878,-2,3
2899,-2,3
2921,-1,3.5
2942,-1,3.5
2964,-1,3.5
2985,-1,3.5
3007,-1,3.5
3028,-1,3.5
3050,-1,3.5
3072,-1,3.5
3093,-1,3.5
3115,-1,3.5
3136,-1,4.5
3158,1,3.5
3179,1,3.5
3201,1,2.5
3222,1,2.5
3244,0,2
3265,-1,2.5
3287,0,2
3308,0,2
3330,0,2
3351,0,2
3373,0,2
3394,1,2.5
3416,1,2.5
3437,1,2.5
3459,1,2.5
3480,1,2.5
3502,1,2.5
3523,1,2.5
3545,1,2.5
3566,1,2.5
3588,1,2.5
3609,1,2.5
3631,2,3
3652,1,2.5
3674,2,3
3695,2,3
3717,2,2
3738,2,3
3760,2,2
3781,2,2
3804,2,3
3825,2,3
3847,2,3
3868,2,3
3890,2,3
3911,2,2
3933,2,2
3954,3,1.5
3976,2,2
3997,2,2
4019,3,1.5
4040,2,2
4062,3,1.5
4083,2,2
4105,3,1.5
4126,3,1.5
4148,3,1.5
4169,3,1.5
4191,3,1.5
4212,3,1.5
4234,3,0.5
4255,3,1.5
4277,3,1.5
4298,3,1.5
4320,3,1.5
4341,3,1.5
4363,3,1.5
4384,3,1.5
4406,3,0.5
4427,3,0.5
4449,3,0.5
4470,3,0.5
4492,3,0.5
4513,3,0.5
4535,3,0.5
4556,3,0.5
4578,3,0.5
4599,3,0.5
4621,3,0.5
4642,3,0.5
4664,3,0.5
4685,3,0.5
4707,3,0.5
4728,3,0.5
4751,3,0.5
4772,3,0.5
4794,3,0.5
4815,3,0.5
4837,3,0.5
4858,4,0
4880,4,0
4901,4,0
4923,3,0.5
4944,4,0
4966,4,0
4987,4,0
5009,4,0
5030,4,0
5052,4,0
5073,4,0
5095,4,0
5116,4,0
5138,4,0
5159,4,0
5181,4,0
5202,4,0
5224,4,0
5245,4,0
5267,4,0
5288,4,0
5310,4,0
5331,4,0
5353,4,0
5374,4,0
5396,4,0
5417,4,0
5439,4,0
5460,4,0
5482,4,0
5504,4,0
5525,4,0
5547,4,0
5568,4,0
5590,4,-1
5611,4,0
5633,4,0
5654,4,0
5676,4,0
5697,4,0
5719,4,0
5740,4,0
5762,4,0
5783,4,0
5805,4,0
5826,4,-1
5848,4,0
5869,5,-0.5
5891,4,-1
5912,4,0
5934,4,0
5955,4,-1
5977,4,0
5998,4,0
6020,4,-1
6041,4,0
6063,4,0
6084,4,0
6106,4,0
6127,4,0
6149,4,0
6170,4,0
6192,4,0
6213,4,0
6235,4,0
6256,4,0
6278,4,0
6299,4,0
6321,4,0
6342,4,0
6364,4,0
6385,4,0
6407,4,0
6428,4,0
6450,4,0
6471,4,0
6493,4,0
6514,4,0
6536,4,0
6557,4,0
6579,4,0
6600,4,0
6622,4,0
6643,4,0
6665,4,0
6686,4,0
6708,4,0
6729,4,0
6751,4,0
6772,4,0
6794,4,0
6815,4,0
6837,4,0
6858,4,0
6880,4,0
6901,4,0
6923,4,0
6944,4,0
6966,4,0
6987,4,0
7009,4,0
7030,4,0
7052,4,0
7073,4,0
7095,4,0
7116,4,0
7138,4,0
7159,4,0
7181,4,0
7202,4,0
7224,4,0
7245,4,0
7267,4,0
7288,4,0
7310,4,0
7331,4,0
7353,4,0
7374,4,0
7396,4,0
7417,4,1
7439,4,0
7460,4,0
7482,4,1
7503,4,1
7525,4,1
7546,4,1
7568,4,0
7589,4,0
7611,4,0
7632,4,0
7654,4,0
7675,4,0
7697,4,0
7718,4,0
7740,4,0
7761,4,0
7783,4,0
7804,4,0
7826,4,0
7847,5,-0.5
7869,4,0
7890,4,0
7912,4,0
7933,4,0
7955,4,0
7976,5,-0.5
7998,4,0
8019,4,0
8041,5,-0.5
8062,4,0
8084,4,0
8105,4,0
8127,4,0
8148,4,0
8170,4,0
8192,4,0
8213,4,0
8235,4,0
8256,4,0
8278,4,0
8299,4,0
8321,4,0
8342,4,0
8364,4,0
8385,4,0
8407,4,0
8428,4,0
8450,4,0
8471,4,0
8493,4,0
8514,4,0
8536,4,0
8557,4,0
8579,4,0
8600,4,0
8622,4,1
8643,4,1
8665,4,1
8686,4,1
8708,4,1
8729,4,1
8751,3,1.5
8772,3,1.5
8794,3,1.5
8815,3,1.5
8837,3,2.5
8858,3,1.5
8880,3,1.5
8901,3,1.5
8923,3,1.5
8944,3,1.5
8966,3,1.5
8987,3,1.5
9010,3,1.5
9031,3,1.5
9053,3,0.5
9074,3,0.5
9096,3,0.5
9117,3,0.5
9139,3,0.5
9160,3,0.5
9182,3,0.5
9203,3,0.5
9225,3,0.5
9246,3,0.5
9268,3,0.5
9289,3,0.5
9311,3,0.5
9332,3,0.5
9354,3,0.5
9375,3,0.5
9397,3,0.5
9418,3,0.5
9440,3,0.5
9461,3,0.5
9483,3,0.5
9504,3,0.5
9526,3,0.5
9547,3,0.5
9569,3,0.5
9590,3,0.5
9612,3,0.5
9633,3,0.5
