time_ms,s1,s2,s3,errorX,errorY,posX,posY
1000,1,10,0,-10.00,-4.00,89.70,89.88
1022,1,10,0,-10.00,-4.00,89.50,89.80
1045,2,12,1,-11.00,-4.50,89.26,89.70
1072,6,17,4,-13.00,-4.50,88.98,89.61
1112,1,14,0,-14.00,-6.00,88.68,89.47
1150,2,16,0,-16.00,-6.00,88.34,89.35
1190,2,16,1,-15.00,-6.50,88.04,89.21
1229,3,18,2,-16.00,-7.00,87.70,89.06
1269,2,16,1,-15.00,-6.50,87.39,88.93
1308,1,16,0,-16.00,-7.00,87.05,88.78
1348,1,15,0,-15.00,-6.50,86.75,88.65
1388,1,14,0,-14.00,-6.00,86.46,88.53
1427,1,16,0,-16.00,-7.00,86.10,88.37
1467,1,16,0,-16.00,-7.00,85.76,88.22
1506,1,15,0,-15.00,-6.50,85.45,88.09
1546,1,17,0,-17.00,-7.50,85.07,87.92
1586,1,17,0,-17.00,-7.50,84.70,87.76
1625,1,17,0,-17.00,-7.50,84.34,87.60
1665,1,18,0,-18.00,-8.00,83.94,87.42
1703,1,19,0,-19.00,-8.50,83.52,87.23
1743,1,19,0,-19.00,-8.50,83.11,87.05
1783,1,21,0,-21.00,-9.50,82.63,86.84
1822,1,21,0,-21.00,-9.50,82.18,86.63
1862,1,20,0,-20.00,-9.00,81.75,86.44
1901,1,21,0,-21.00,-9.50,81.28,86.23
1941,1,22,0,-22.00,-10.00,80.79,86.00
1982,1,24,0,-24.00,-11.00,80.24,85.75
2022,1,25,0,-25.00,-11.50,79.68,85.50
2063,1,25,0,-25.00,-11.50,79.13,85.25
2103,1,26,0,-26.00,-12.00,78.55,84.98
2144,1,27,0,-27.00,-12.50,77.95,84.70
2185,1,29,0,-29.00,-13.50,77.29,84.39
2225,1,32,0,-32.00,-15.00,76.56,84.05
2266,2,32,0,-32.00,-14.00,75.85,83.75
2306,2,33,0,-33.00,-14.50,75.12,83.43
2347,2,37,0,-37.00,-16.50,74.26,83.05
2387,3,39,0,-39.00,-16.50,73.39,82.68
2427,4,43,2,-41.00,-18.50,72.47,82.26
2468,6,45,3,-42.00,-18.00,71.54,81.87
2509,5,46,1,-45.00,-18.50,70.52,81.45
2549,5,49,1,-48.00,-20.00,69.43,81.00
2590,5,46,1,-45.00,-18.50,68.47,80.60
2630,6,47,1,-46.00,-18.00,67.44,80.20
2671,6,48,1,-47.00,-18.50,66.38,79.78
2712,7,49,1,-48.00,-18.00,65.30,79.37
2752,7,47,1,-46.00,-17.00,64.28,78.99
2793,7,45,0,-45.00,-15.50,63.27,78.65
2833,7,43,1,-42.00,-15.00,62.34,78.30
2874,8,41,0,-41.00,-12.50,61.40,78.02
2915,8,39,0,-39.00,-11.50,60.50,77.75
2955,9,36,0,-36.00,-9.00,59.68,77.54
2995,10,33,0,-33.00,-6.50,58.91,77.37
3035,11,29,1,-28.00,-4.00,58.26,77.26
3076,11,26,1,-25.00,-2.50,57.64,77.17
3117,12,26,1,-25.00,-1.50,56.99,77.09
3156,12,24,1,-23.00,-0.50,56.40,77.03
3197,13,19,1,-18.00,3.00,55.94,77.07
3236,13,18,1,-17.00,3.50,55.46,77.09
3276,13,18,1,-17.00,3.50,54.96,77.10
3316,13,16,1,-15.00,4.50,54.53,77.15
3355,13,14,1,-13.00,5.50,54.13,77.21
3395,14,13,1,-12.00,7.00,53.74,77.31
3434,14,13,1,-12.00,7.00,53.34,77.40
3474,14,11,1,-10.00,8.00,53.00,77.51
3514,14,10,1,-9.00,8.50,52.67,77.64
3552,14,9,1,-8.00,9.00,52.35,77.77
3590,14,8,1,-7.00,9.50,52.06,77.91
3627,14,8,1,-7.00,9.50,51.76,78.05
3664,14,8,1,-7.00,9.50,51.45,78.20
3701,14,7,1,-6.00,10.00,51.17,78.35
3740,14,7,1,-6.00,10.00,50.89,78.51
3779,13,7,1,-6.00,9.00,50.60,78.63
3816,13,7,2,-5.00,8.50,50.34,78.75
3854,13,6,2,-4.00,9.00,50.11,78.89
3891,13,5,2,-3.00,9.50,49.89,79.04
3929,13,5,2,-3.00,9.50,49.66,79.19
3965,13,5,2,-3.00,9.50,49.43,79.34
4003,13,5,2,-3.00,9.50,49.20,79.49
4041,13,4,2,-2.00,10.00,49.00,79.65
4079,13,5,2,-3.00,9.50,48.76,79.80
4117,12,4,2,-2.00,9.00,48.57,79.94
4154,12,4,2,-2.00,9.00,48.36,80.08
4192,12,4,2,-2.00,9.00,48.15,80.23
4229,12,3,2,-1.00,9.50,47.97,80.39
4267,12,3,2,-1.00,9.50,47.77,80.54
4303,12,4,2,-2.00,9.00,47.55,80.68
4341,11,3,2,-1.00,8.50,47.37,80.82
4379,12,3,2,-1.00,9.50,47.18,80.99
4416,12,2,2,0.00,10.00,47.02,81.16
4454,12,2,2,0.00,10.00,46.85,81.33
4491,12,2,2,0.00,10.00,46.68,81.50
4529,12,2,2,0.00,10.00,46.51,81.68
4566,11,2,2,0.00,9.00,46.34,81.82
4602,11,2,2,0.00,9.00,46.17,81.98
4639,11,3,2,-1.00,8.50,45.97,82.12
4676,11,3,3,0.00,8.00,45.81,82.25
4713,11,2,2,0.00,9.00,45.64,82.41
4749,11,2,3,1.00,8.50,45.50,82.56
4786,11,2,2,0.00,9.00,45.32,82.72
4822,11,1,2,1.00,9.50,45.18,82.90
4858,11,2,2,0.00,9.00,45.00,83.05
4894,11,2,2,0.00,9.00,44.82,83.21
4931,11,2,2,0.00,9.00,44.65,83.38
4967,11,1,3,2.00,9.00,44.54,83.54
5004,10,1,3,2.00,8.00,44.41,83.67
5041,11,1,3,2.00,9.00,44.28,83.85
5076,11,1,3,2.00,9.00,44.15,84.02
5113,11,1,3,2.00,9.00,44.02,84.18
5149,11,1,3,2.00,9.00,43.90,84.35
5186,11,1,3,2.00,9.00,43.77,84.52
5222,10,1,3,2.00,8.00,43.64,84.66
5259,10,0,3,3.00,8.50,43.54,84.83
5295,10,0,3,3.00,8.50,43.43,84.99
5331,10,0,3,3.00,8.50,43.32,85.15
5367,10,0,3,3.00,8.50,43.22,85.31
5404,10,0,3,3.00,8.50,43.11,85.48
5441,10,0,3,3.00,8.50,43.00,85.64
5477,10,0,3,3.00,8.50,42.89,85.81
5514,10,0,3,3.00,8.50,42.79,85.97
5550,10,0,3,3.00,8.50,42.68,86.14
5586,9,0,3,3.00,7.50,42.58,86.28
5621,9,0,3,3.00,7.50,42.47,86.43
5657,9,0,3,3.00,7.50,42.36,86.58
5692,9,0,4,4.00,7.00,42.29,86.71
5728,9,0,4,4.00,7.00,42.20,86.85
5763,9,0,4,4.00,7.00,42.12,86.99
5798,9,0,4,4.00,7.00,42.04,87.14
5833,9,0,4,4.00,7.00,41.95,87.28
5869,9,0,3,3.00,7.50,41.84,87.44
5905,9,0,4,4.00,7.00,41.77,87.58
5940,9,0,4,4.00,7.00,41.69,87.72
5976,9,0,4,4.00,7.00,41.60,87.87
6010,8,0,4,4.00,6.00,41.52,87.99
6046,8,0,4,4.00,6.00,41.44,88.11
6081,8,0,4,4.00,6.00,41.36,88.24
6117,8,0,5,5.00,5.50,41.31,88.35
